	word	score_pc	score_warriner	label	session
51	coffee	-1.8894778219780866	7.0	pos	3
52	symphony	-1.9498998207384868	7.15	pos	3
53	agreement	-1.2126784285084093	6.75	pos	3
54	computer	-1.728066945394655	6.84	pos	3
55	advantage	-1.2474567486001964	6.71	pos	3
56	couple	-1.9002611819546853	7.11	pos	3
57	flute	-1.6804307003665144	6.29	pos	3
58	rose	-2.0984901362773236	7.11	pos	3
59	bird	-1.0841943171680317	6.75	pos	3
40	cold	1.7592404876513306	4.32	neg	3
41	tax	3.421191058076975	3.0	neg	3
42	voter	-0.3331872788781821	4.85	neg	3
43	cabbage	0.041184453360586966	4.6	neg	3
44	foot	0.41231466195915456	4.68	neg	3
45	tobacco	2.4112957366516237	3.37	neg	3
46	grievance	3.6017940902369654	3.45	neg	3
47	dusty	1.880222474982077	3.95	neg	3
48	delirium	3.417220959316271	3.4	neg	3
49	shame	4.2618443246155895	2.62	neg	3
50	snub	3.9847946241932393	3.23	neg	3
51	cyclone	3.583082910341294	3.47	neg	3
52	volcano	2.198755119361784	4.59	neg	3
53	radish	0.33736940436804663	4.7	neg	3
54	belch	1.9197700017151134	4.18	neg	3
55	debate	1.239138220826116	4.95	neg	3
56	reporter	0.7962654471128737	4.57	neg	3
57	malice	3.68876961029552	2.81	neg	3
58	criminal	3.6129749181587067	2.11	neg	3
59	trial	2.3068979902814997	3.28	neg	3
40	toe	0.6016604903777263	5.24	neu	3
41	sum	0.1511721542964875	5.71	neu	3
42	pen	-0.23071750329615884	5.63	neu	3
43	cabinet	0.05858023181365075	5.1	neu	3
44	egg	-0.6884171372613734	5.95	neu	3
45	glass	0.2046331385026182	5.48	neu	3
46	faucet	-0.12329175202530201	5.55	neu	3
47	year	0.5062695562835388	5.75	neu	3
48	reality	0.30770997164376424	5.73	neu	3
49	patent	-0.1793860699809707	5.34	neu	3
50	witness	0.599062320604493	5.61	neu	3
51	gum	-1.0048841857254538	5.89	neu	3
52	spiritual	-1.5026706526379858	5.82	neu	3
53	tuba	-0.9453401417863881	5.58	neu	3
54	jam	-1.343270424679961	5.81	neu	3
55	plane	0.20373950943912453	5.72	neu	3
56	jungle	0.07332602516344529	5.7	neu	3
57	harp	-1.7878104403788575	5.4	neu	3
58	pencil	0.13339963708933658	5.65	neu	3
59	cafeteria	-0.4971407339658378	5.68	neu	3
60	bay	-1.1741643655496399	7.23	pos	4
61	lust	-1.426145970237633	6.26	pos	4
62	festival	-2.93465986085152	6.84	pos	4
63	choir	-1.883093263099396	6.15	pos	4
64	flower	-2.411716547027706	7.3	pos	4
65	harmonica	-1.3206920491180312	6.32	pos	4
66	gratitude	-2.8305869761860607	6.67	pos	4
67	trust	-2.1205664047688315	7.24	pos	4
68	bonfire	-1.797428860452935	6.53	pos	4
69	bicycle	-1.301667818567906	6.71	pos	4
70	peace	-3.0311112754680245	7.75	pos	4
71	heroism	-2.30162279277581	7.05	pos	4
72	kitchen	-1.5082836116280287	6.17	pos	4
73	parent	-1.2094761189992442	6.73	pos	4
74	wonder	-2.303583541830637	6.68	pos	4
75	bread	-1.5215329943370883	6.52	pos	4
76	dog	-1.7294291477603156	7.0	pos	4
77	truce	-1.6859102219357713	6.42	pos	4
78	honey	-2.0667688436819986	7.27	pos	4
79	banjo	-1.2316584124512135	6.35	pos	4
60	snake	1.9545839460048196	4.03	neg	4
61	pig	0.06051131875297907	4.83	neg	4
62	zone	0.42679466080263384	4.75	neg	4
63	saw	-0.10198134801944247	4.16	neg	4
64	majority	0.19555716741692625	4.95	neg	4
65	denial	2.831441072496237	3.57	neg	4
66	insult	4.217617450443988	2.62	neg	4
67	court	2.0765857872261098	3.52	neg	4
68	accident	3.997474019068488	2.55	neg	4
69	torment	4.535584026985902	2.53	neg	4
70	fallacy	2.7422742606943906	4.0	neg	4
71	battle	3.6681565356811987	3.52	neg	4
72	stampede	2.743705269225531	4.48	neg	4
73	expensive	-0.3663992490442602	3.36	neg	4
74	scream	2.697827087742288	3.02	neg	4
75	empty	2.8496222967354625	3.78	neg	4
76	animosity	3.4698173961771306	3.4	neg	4
77	explosion	3.183549402057081	3.17	neg	4
78	loan	0.7532200949518182	4.19	neg	4
79	flood	3.8030340674756413	2.76	neg	4
60	guard	0.29188517290671034	5.89	neu	4
61	boy	-0.9031069202434167	5.84	neu	4
62	hall	0.4398740830446768	5.89	neu	4
63	chestnut	-0.4880378396985329	5.68	neu	4
64	circus	-2.5470438847613415	5.85	neu	4
65	elevator	0.1872293205875	5.95	neu	4
66	door	0.37753019343780747	5.43	neu	4
67	scientist	-0.5273916336755435	5.83	neu	4
68	shoulder	0.12602488928311428	5.1	neu	4
69	businessman	0.6669259665908855	5.38	neu	4
70	team	-0.9453395472380091	5.91	neu	4
71	mouth	-0.05436507667908295	5.59	neu	4
72	red	0.43957669780224157	5.67	neu	4
73	put	0.35458613676366607	5.09	neu	4
74	baseball	-0.4066038871991289	5.79	neu	4
75	bell	-0.6996261236875504	5.67	neu	4
76	theme	-0.7774272008663468	5.43	neu	4
77	journalist	0.18094025084207666	5.3	neu	4
78	worker	0.019643874639239705	5.95	neu	4
79	hand	-0.29144085929118746	5.9	neu	4
80	tangerine	-1.1784879681316873	6.81	pos	5
81	spring	-2.6259845808766316	7.64	pos	5
82	morning	-1.211925852261804	6.41	pos	5
83	wit	-1.2397352233188434	7.25	pos	5
84	friendly	-2.9544920916265727	7.84	pos	5
85	penguin	-1.2194148821621404	6.65	pos	5
86	book	-1.1429809241505904	7.05	pos	5
87	cash	-1.6872526925643307	7.51	pos	5
88	drum	-1.43738170922385	6.05	pos	5
89	peaceful	-2.641671297166366	8.0	pos	5
90	awe	-2.1428059827362134	6.85	pos	5
91	theater	-1.881628850758148	6.14	pos	5
92	tea	-1.410303556989907	6.56	pos	5
93	tulip	-2.547338598571031	7.25	pos	5
94	television	-1.2953784874705339	7.18	pos	5
95	bed	-1.962809513975644	7.16	pos	5
96	water	-1.2320142343270626	7.0	pos	5
97	intellect	-2.249771083793789	6.62	pos	5
98	applause	-2.359180268524937	7.12	pos	5
99	cherry	-1.7441234463665167	7.05	pos	5
80	army	1.399169263323496	4.65	neg	5
81	dangerous	3.17672342877373	2.33	neg	5
82	dictation	0.7498341013103271	4.26	neg	5
83	ant	1.5300907112092572	3.9	neg	5
84	mob	2.490397821352158	3.7	neg	5
85	mosquito	2.9843905620469613	3.12	neg	5
86	grief	4.735833249102136	2.33	neg	5
87	hierarchy	1.0236166268558873	4.95	neg	5
88	screech	2.4247339438516757	3.5	neg	5
89	whine	3.0668244091236065	2.82	neg	5
90	riot	3.227422121163128	3.15	neg	5
91	jealousy	3.693241029119933	2.58	neg	5
92	election	0.5712560851538326	4.5	neg	5
93	cab	0.18282361319895718	4.81	neg	5
94	dread	4.006417686109669	3.0	neg	5
95	banker	0.8708146708303101	4.89	neg	5
96	dead	4.0294120701769724	2.02	neg	5
97	ambulance	2.2468136409924253	3.71	neg	5
98	curse	3.659937177091274	2.9	neg	5
99	vice	2.1399531488678094	3.81	neg	5
80	ticket	-0.7502239645266248	5.28	neu	5
81	desk	0.16108323717668446	5.56	neu	5
82	arm	-0.2527650722021685	5.44	neu	5
83	stapler	0.19443075193465503	5.25	neu	5
84	rum	-1.1343736111597313	5.57	neu	5
85	carrot	-0.32385553549685003	5.79	neu	5
86	mandolin	-1.4097678477610591	5.7	neu	5
87	mushroom	0.08756588783899029	5.61	neu	5
88	number	0.23743418417627246	5.59	neu	5
89	hairbrush	-0.49632319562763205	5.95	neu	5
90	bus	0.5156614996478043	5.12	neu	5
91	apricot	-1.2450836009557777	5.95	neu	5
92	company	0.45870408480077457	5.64	neu	5
93	editor	0.14106522732466809	5.43	neu	5
94	newspaper	0.33099361435599134	5.11	neu	5
95	engineer	-0.41434578466507305	5.79	neu	5
96	dime	-0.8220066925000616	5.58	neu	5
97	clue	0.07992973296861663	5.38	neu	5
98	umbrella	0.002541127499528235	5.84	neu	5
99	corn	-1.2359142748082859	5.95	neu	5
100	girl	-1.3135837283207359	7.15	pos	6
101	hygiene	-1.613773182399739	6.38	pos	6
102	forest	-1.6320665929887423	6.68	pos	6
103	dinner	-2.2453726125286497	6.4	pos	6
104	blueberry	-1.4048581699918157	7.11	pos	6
105	cheese	-1.5755240884938975	6.81	pos	6
106	camera	-1.0219663684796234	6.61	pos	6
107	parade	-2.3709211732995845	6.37	pos	6
108	honeymoon	-3.088901995294943	7.53	pos	6
109	party	-2.3202480308548075	7.18	pos	6
110	sun	-1.2017878999114777	6.92	pos	6
111	read	-1.8767830960428598	6.73	pos	6
112	pumpkin	-1.1380831950062478	7.0	pos	6
113	dolphin	-2.035068499528653	6.67	pos	6
114	chocolate	-2.5392798128154292	7.63	pos	6
115	elm	-1.1812540207039297	6.32	pos	6
116	chipmunk	-1.0711976143586521	7.33	pos	6
117	river	-1.828459027595862	6.72	pos	6
118	home	-2.2232275900644445	7.48	pos	6
119	handshake	-1.283661754694624	6.21	pos	6
100	rumor	3.1728286127179004	3.14	neg	6
101	law	0.7240429444440241	4.55	neg	6
102	gunshot	3.2726955917764444	2.79	neg	6
103	sin	3.17385380725332	3.08	neg	6
104	fee	2.6698720582687456	2.86	neg	6
105	lost	3.7741942061665816	2.53	neg	6
106	rake	0.5993691927879942	4.75	neg	6
107	prison	3.5877944631029135	1.94	neg	6
108	protest	1.346131993343653	4.42	neg	6
109	guilt	4.221939812186831	2.29	neg	6
110	folly	2.52891321026023	4.11	neg	6
111	crow	0.8985553834191027	4.32	neg	6
112	politician	1.7380634654586231	3.25	neg	6
113	lawyer	1.4290259416609457	3.94	neg	6
114	woe	4.673386290788297	3.38	neg	6
115	judge	1.4215335544070353	3.89	neg	6
116	bee	1.5036737146000605	3.68	neg	6
117	mayor	0.3271241198863318	4.59	neg	6
118	funeral	4.4945241061753745	2.07	neg	6
119	old	1.5556418242275696	3.19	neg	6
100	finger	-0.36599260561861957	5.8	neu	6
101	escalator	-0.1293625696653618	5.95	neu	6
102	audience	-0.765658560455155	5.89	neu	6
103	advice	-0.30581232848456497	5.78	neu	6
104	role	0.07641955756997082	5.1	neu	6
105	quantity	-0.19857454607668076	5.33	neu	6
106	big	0.6345811289687322	5.64	neu	6
107	analogy	0.06851316647377265	5.24	neu	6
108	medicine	0.597486551423763	5.9	neu	6
109	scooter	-0.9209473384247755	5.42	neu	6
110	comb	-0.15774590184623308	5.65	neu	6
111	era	0.38949539348709145	5.29	neu	6
112	satire	-0.9476055713690849	5.81	neu	6
113	table	0.1576901893660491	5.49	neu	6
114	bugle	-0.441124933220443	5.05	neu	6
115	prairie	-1.1818642926883074	5.33	neu	6
116	chair	-0.4928774877246448	5.89	neu	6
117	accordion	-0.8574934623041074	5.26	neu	6
118	church	0.40700350355881554	5.21	neu	6
119	soccer	-0.6912617476649511	5.84	neu	6
